"","PD_DESC","OFNS_DESC","LAW_CAT_CD","AGE_GROUP","PERP_SEX","PERP_RACE","Latitude","Longitude","YEAR"
"6784","AGRICULTURE & MARKETS LAW,UNCLASSIFIED","OTHER STATE LAWS (NON PENAL LAW)","M","25-44","M","WHITE HISPANIC",40.848447832,-73.923905353,2017
"6785","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","F","WHITE",40.7293432160001,-74.005225891,2017
"6786","MARIJUANA, POSSESSION 1, 2 & 3","DANGEROUS DRUGS","F","25-44","M","BLACK",40.8127036070001,-73.899124308,2017
"6787","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.803393591,-73.9381450119999,2017
"6788","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK",40.737082284,-73.9829622999999,2017
"6789","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","18-24","M","BLACK",40.6896482110001,-73.924054122,2017
"6790","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.855571684,-73.8676603449999,2017
"6791","NY STATE LAWS,UNCLASSIFIED FELONY","OTHER STATE LAWS","F","25-44","F","ASIAN / PACIFIC ISLANDER",40.613704446,-73.981596291,2017
"6792","MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","F","25-44","F","ASIAN / PACIFIC ISLANDER",40.761348341,-73.7343866159999,2017
"6793","STOLEN PROPERTY 3,POSSESSION","POSSESSION OF STOLEN PROPERTY 5","M","45-64","M","ASIAN / PACIFIC ISLANDER",40.745000297,-73.8701283239999,2017
"6794","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","18-24","M","WHITE",40.742833788,-73.998428024,2017
"6795","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","M","WHITE HISPANIC",40.8272156420001,-73.879807015,2017
"6796","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.737158831,-73.930816361,2017
"6797","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","18-24","M","BLACK",40.6953674470001,-73.983243425,2017
"6798","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","BLACK",40.6584012480001,-73.915569352,2017
"6799","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","BLACK",40.586231405,-73.816011121,2017
"6800","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","F","WHITE HISPANIC",40.8559372020001,-73.894778684,2017
"6801","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.873671035,-73.9080136489999,2017
"6802","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","18-24","M","WHITE HISPANIC",40.7504307680001,-73.989282176,2017
"6803","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","25-44","M","BLACK HISPANIC",40.7153314890001,-73.938695679,2017
"6804","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","F","WHITE HISPANIC",40.699755759,-73.9260586079999,2017
"6805","IMPRISONMENT 2,UNLAWFUL","OFFENSES AGAINST THE PERSON","M","25-44","M","WHITE",40.72046384,-74.006852204,2017
"6806","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","F","BLACK",40.808374136,-73.9468858229999,2017
"6807","SEXUAL ABUSE 1","SEX CRIMES","F","<18","F","BLACK",40.6954689410001,-73.982825079,2017
"6808","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","BLACK",40.732263698,-73.9963535589999,2017
"6809","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","45-64","M","BLACK",40.6848248250001,-73.983523706,2017
"6810","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.6772418790001,-73.905577056,2017
"6811","STRANGULATION 1ST","FELONY ASSAULT","F","25-44","M","BLACK",40.671110834,-73.913563363,2017
"6812","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","18-24","M","BLACK",40.869688932,-73.8687531039999,2017
"6813","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","F","WHITE",40.70059059,-73.8077431999999,2017
"6814","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","WHITE",40.824033538,-73.873757075,2017
"6815","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE",40.620855732,-74.0267728159999,2017
"6816","TRESPASS 2, CRIMINAL","CRIMINAL TRESPASS","M","18-24","M","WHITE HISPANIC",40.755263364,-73.830353831,2017
"6817","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","18-24","M","WHITE HISPANIC",40.882635463,-73.883941587,2017
"6818","DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","DANGEROUS DRUGS","M","45-64","M","BLACK",40.697836308,-73.795846598,2017
"6819","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.5874255250001,-73.959349624,2017
"6820","MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","F","45-64","M","BLACK",40.6553451140001,-73.951512704,2017
"6821","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","45-64","M","WHITE HISPANIC",40.8233872910001,-73.87017045,2017
"6822","MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","M","18-24","F","BLACK",40.5737633750001,-73.992877757,2017
"6823","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.8158540040001,-73.895430932,2017
"6824","LARCENY,GRAND BY CREDIT CARD USE","GRAND LARCENY","F","25-44","F","WHITE",40.602070698,-74.002691509,2017
"6825","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","BLACK",40.68012292,-73.775952209,2017
"6826","IMPERSONATION 2, PUBLIC SERVANT","FRAUDS","M","25-44","M","BLACK",40.6710968400001,-73.906209401,2017
"6827","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","WHITE",40.5741401280001,-74.106007765,2017
"6828","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","ASIAN / PACIFIC ISLANDER",40.7532599780001,-73.889212846,2017
"6829","MARIJUANA, SALE 4 & 5","DANGEROUS DRUGS","M","45-64","M","BLACK",40.614486583,-73.9264015809999,2017
"6830","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","45-64","M","BLACK",40.671110834,-73.913563363,2017
"6831","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","F","BLACK",40.737082284,-73.9829622999999,2017
"6832","PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","F","WHITE",40.804012949,-73.8783318329999,2017
"6833","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","BLACK",40.637368262,-73.9726901879999,2017
"6834","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","M","WHITE",40.5897306950001,-73.9580628429999,2017
"6835","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","M","ASIAN / PACIFIC ISLANDER",40.6984396940001,-73.831129539,2017
"6836","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.690699497,-73.9161991619999,2017
"6837","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","WHITE",40.759923583,-73.9677812909999,2017
"6838","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","F","WHITE HISPANIC",40.813786421,-73.897590915,2017
"6839","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","F","WHITE HISPANIC",40.733926841,-73.871582398,2017
"6840","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","65+","M","BLACK",40.668927716,-73.915891272,2017
"6841","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","BLACK HISPANIC",40.6803986090001,-73.949558393,2017
"6842","PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK",40.6758762380001,-73.945761986,2017
"6843","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","F","BLACK HISPANIC",40.8257346950001,-73.918926948,2017
"6844","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","18-24","M","BLACK",40.803678673,-73.948565571,2017
"6845","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","45-64","M","BLACK",40.6522491270001,-73.940130322,2017
"6846","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","ASIAN / PACIFIC ISLANDER",40.6442223930001,-73.995255715,2017
"6847","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","25-44","M","BLACK HISPANIC",40.8516676790001,-73.896144557,2017
"6848","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.749139326,-73.862970594,2017
"6849","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.674732877,-73.9052417299999,2017
"6850","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","M","BLACK",40.676199324,-73.9095658479999,2017
"6851","MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","M","45-64","M","WHITE HISPANIC",40.7156705730001,-73.9839417439999,2017
"6852","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.574301425,-73.994072789,2017
"6853","DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","DANGEROUS DRUGS","M","18-24","M","BLACK",40.6790177890001,-73.924181597,2017
"6854","ASSAULT 2,1,PEACE OFFICER","FELONY ASSAULT","F","25-44","M","BLACK",40.853587401,-73.9005913559999,2017
"6855","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","65+","M","BLACK HISPANIC",40.65692324,-73.939646779,2017
"6856","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","BLACK",40.6789135820001,-73.916394238,2017
"6857","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","WHITE",40.6181205080001,-73.959107606,2017
"6858","VEHICULAR ASSAULT (INTOX DRIVE","MISCELLANEOUS PENAL LAW","F","25-44","M","WHITE HISPANIC",40.706708647,-73.9529144649999,2017
"6859","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.8373763590001,-73.887760929,2017
"6860","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","<18","M","BLACK",40.674287077,-73.809206976,2017
"6861","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.659725688,-73.939698307,2017
"6862","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK HISPANIC",40.667297692,-73.909163377,2017
"6863","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","25-44","M","BLACK",40.726472786,-73.977091375,2017
"6864","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","25-44","M","BLACK",40.6887547640001,-73.747855209,2017
"6865","MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","M","45-64","M","WHITE HISPANIC",40.8146122320001,-73.9139550199999,2017
"6866","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","<18","M","BLACK HISPANIC",40.815929553,-73.9451673569999,2017
"6867","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","18-24","F","BLACK",40.733883033,-74.0054283109999,2017
"6868","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.7207588210001,-73.980466423,2017
"6869","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","M","ASIAN / PACIFIC ISLANDER",40.7074473640001,-73.792141768,2017
"6870","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.7250148520001,-73.999344827,2017
"6871","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","WHITE HISPANIC",40.6984396940001,-73.831129539,2017
"6872","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","BLACK",40.6270608940001,-74.077149232,2017
"6873","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","18-24","M","WHITE HISPANIC",40.7298511060001,-74.001506013,2017
"6874","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","65+","M","BLACK",40.8474466970001,-73.8996716199999,2017
"6875","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.7560435350001,-73.986949544,2017
"6876","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.829510182,-73.874610305,2017
"6877","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.815459763,-73.8996439739999,2017
"6878","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","45-64","F","BLACK",40.6902467890001,-73.994361778,2017
"6879","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.757240531,-73.9897936369999,2017
"6880","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","F","BLACK",40.7462756950001,-73.9977819389999,2017
"6881","INTOXICATED DRIVING,ALCOHOL","INTOXICATED/IMPAIRED DRIVING","F","25-44","M","UNKNOWN",40.679838697,-74.003527489,2017
"6882","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","<18","M","BLACK",40.592336182,-73.9814869589999,2017
"6883","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","F","WHITE HISPANIC",40.61691512,-74.033741036,2017
"6884","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","BLACK",40.6881125700001,-73.9803894459999,2017
"6885","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","45-64","M","WHITE HISPANIC",40.789486555,-73.950573584,2017
"6886","PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK",40.6581353390001,-73.916027421,2017
"6887","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.620702345,-74.0034379099999,2017
"6888","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","F","WHITE",40.638667594,-74.022463404,2017
"6889","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","WHITE HISPANIC",40.8013868900001,-73.9327000599999,2017
"6890","MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","M","18-24","M","BLACK",40.586231405,-73.816011121,2017
"6891","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","ASIAN / PACIFIC ISLANDER",40.735746147,-73.8663467229999,2017
"6892","ASSAULT 2,1,PEACE OFFICER","FELONY ASSAULT","F","25-44","M","BLACK",40.6752886240001,-73.9513864469999,2017
"6893","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.660259651,-73.942581269,2017
"6894","WEAPONS,MFR,TRANSPORT,ETC.","DANGEROUS WEAPONS","F","25-44","M","WHITE HISPANIC",40.8233872910001,-73.87017045,2017
"6895","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","<18","M","WHITE HISPANIC",40.853587401,-73.9005913559999,2017
"6896","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.6232268190001,-74.1492269729999,2017
"6897","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK HISPANIC",40.8388302280001,-73.9426295389999,2017
"6898","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","F","WHITE",40.6984396940001,-73.831129539,2017
"6899","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","45-64","M","BLACK",40.805412948,-73.9419611929999,2017
"6900","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","F","WHITE HISPANIC",40.6046178880001,-73.9982548089999,2017
"6901","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","WHITE",40.882862131,-73.90357449,2017
"6902","","","M","18-24","M","BLACK HISPANIC",40.8278199010001,-73.925930756,2017
"6903","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","BLACK",40.7185640660001,-73.988201454,2017
"6904","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","25-44","M","WHITE HISPANIC",40.720053611,-73.9816390789999,2017
"6905","US CODE,UNCLASSIFIED","F.C.A. P.I.N.O.S.","","25-44","M","BLACK",40.714005603,-74.002082807,2017
"6906","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","M","WHITE HISPANIC",40.800800791,-73.9349183689999,2017
"6907","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","F","WHITE",40.7679551100001,-73.982362342,2017
"6908","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.8558968560001,-73.928017825,2017
"6909","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","M","BLACK",40.798483162,-73.9491474709999,2017
"6910","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","25-44","M","BLACK",40.6536749960001,-73.9627870699999,2017
"6911","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","45-64","M","WHITE HISPANIC",40.873668438,-73.898373732,2017
"6912","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.861357899,-73.897730961,2017
"6913","PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","45-64","M","BLACK",40.804012949,-73.8783318329999,2017
"6914","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","18-24","M","WHITE HISPANIC",40.728514542,-73.944030603,2017
"6915","IMPERSONATION 2, PUBLIC SERVANT","FRAUDS","M","25-44","M","WHITE",40.72046384,-74.006852204,2017
"6916","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","F","BLACK",40.808374136,-73.9468858229999,2017
"6917","MENACING,UNCLASSIFIED","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","WHITE HISPANIC",40.847368191,-73.904182565,2017
"6918","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","WHITE HISPANIC",40.756167883,-73.913012636,2017
"6919","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","45-64","F","BLACK",40.861513399,-73.9097549209999,2017
"6920","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","BLACK",40.8830436060001,-73.8282521309999,2017
"6921","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK HISPANIC",40.8617806340001,-73.918470871,2017
"6922","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.668613679,-73.9220774299999,2017
"6923","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.642142204,-73.9293546329999,2017
"6924","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY &","M","18-24","M","WHITE HISPANIC",40.869407492,-73.879998313,2017
"6925","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","I","18-24","M","BLACK",40.674005438,-73.927842814,2017
"6926","FRAUD,UNCLASSIFIED-FELONY","THEFT-FRAUD","F","45-64","M","ASIAN / PACIFIC ISLANDER",40.715526213,-74.0012387479999,2017
"6927","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","BLACK",40.6757619570001,-73.971423483,2017
"6928","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","WHITE HISPANIC",40.8377816180001,-73.919457971,2017
"6929","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","<18","M","BLACK",40.815929553,-73.9451673569999,2017
"6930","","","F","45-64","M","BLACK HISPANIC",40.8377816180001,-73.919457971,2017
"6931","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","AMERICAN INDIAN/ALASKAN NATIVE",40.7322317320001,-73.867750147,2017
"6932","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","18-24","M","WHITE",40.5890146410001,-73.967593708,2017
"6933","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.862184568,-73.923144894,2017
"6934","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","F","WHITE",40.722797981,-73.8519563569999,2017
"6935","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","M","BLACK",40.632394963,-74.109760751,2017
"6936","BAIL JUMPING 1 & 2","MISCELLANEOUS PENAL LAW","F","18-24","M","BLACK",40.80958939,-73.939949062,2017
"6937","CONTROLLED SUBSTANCE,SALE 3","DANGEROUS DRUGS","F","25-44","M","BLACK",40.8057378,-73.938543785,2017
"6938","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY &","M","25-44","M","WHITE",40.737082284,-73.9829622999999,2017
"6939","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","18-24","M","BLACK",40.6871923620001,-73.97659285,2017
"6940","STRANGULATION 1ST","FELONY ASSAULT","F","45-64","M","BLACK",40.7074473640001,-73.792141768,2017
"6941","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","BLACK",40.6833630400001,-73.974867134,2017
"6942","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","F","BLACK",40.882553124,-73.826962357,2017
"6943","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","BLACK",40.722640996,-73.8515418219999,2017
"6944","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","<18","M","WHITE HISPANIC",40.8461486300001,-73.9342342589999,2017
"6945","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","25-44","M","BLACK",40.7601571870001,-73.767423955,2017
"6946","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","M","25-44","M","BLACK",40.8008808930001,-73.940953807,2017
"6947","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","F","WHITE",40.5869257900001,-74.1640837159999,2017
"6948","STRANGULATION 1ST","FELONY ASSAULT","F","18-24","M","BLACK",40.837464593,-73.85821708,2017
"6949","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","25-44","F","BLACK",40.6943820820001,-73.983290552,2017
"6950","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","25-44","F","BLACK",40.6834613440001,-73.915941447,2017
"6951","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","F","WHITE",40.7669050060001,-73.963731019,2017
"6952","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","18-24","F","BLACK HISPANIC",40.8286754580001,-73.943989716,2017
"6953","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","25-44","M","BLACK",40.6333185010001,-73.968040566,2017
"6954","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","45-64","M","BLACK",40.6614375790001,-73.905743602,2017
"6955","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","45-64","M","BLACK",40.8514058010001,-73.941284883,2017
"6956","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","BLACK",40.8210190230001,-73.865749125,2017
"6957","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","ASIAN / PACIFIC ISLANDER",40.654751245,-74.007368032,2017
"6958","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","18-24","M","BLACK",40.8528066800001,-73.881828404,2017
"6959","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK",40.7074473640001,-73.792141768,2017
"6960","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","18-24","M","WHITE HISPANIC",40.7893309460001,-73.946315985,2017
"6961","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","WHITE HISPANIC",40.757240531,-73.9897936369999,2017
"6962","IMPERSONATION 2, PUBLIC SERVANT","FRAUDS","M","65+","M","BLACK",40.679980738,-73.7762339069999,2017
"6963","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.8377816180001,-73.919457971,2017
"6964","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","45-64","M","BLACK",40.673354056,-73.86806517,2017
"6965","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","25-44","M","BLACK",40.6714116630001,-73.8815117239999,2017
